"id","stage","date","team_a","team_b","team_a_flag","team_b_flag","score_a","score_b","status"
"1","Grupo A","2026-06-11 15:00","México","África do Sul","🇲🇽","🇿🇦","2","1","finished"
"2","Grupo A","2026-06-11 22:00","Coreia do Sul","Vencedor Repescagem UEFA D","🇰🇷","🏳️","","","scheduled"
"3","Grupo B","2026-06-12 15:00","Canadá","Vencedor Repescagem UEFA A","🇨🇦","🏳️","","","scheduled"
"4","Grupo D","2026-06-12 21:00","Estados Unidos","Paraguai","🇺🇸","🇵🇾","","","scheduled"
"5","Grupo B","2026-06-13 15:00","Catar","Suíça","🇶🇦","🇨🇭","","","scheduled"
"6","Grupo C","2026-06-13 18:00","Brasil","Marrocos","🇧🇷","🇲🇦","","","scheduled"
"7","Grupo C","2026-06-13 21:00","Haiti","Escócia","🇭🇹","🏴󠁧󠁢󠁳󠁣󠁴󠁿","","","scheduled"
"8","Grupo D","2026-06-14 00:00","Austrália","Vencedor Repescagem UEFA C","🇦🇺","🏳️","","","scheduled"
"9","Grupo E","2026-06-14 13:00","Alemanha","Curaçau","🇩🇪","🇨🇼","","","scheduled"
"10","Grupo F","2026-06-14 16:00","Holanda","Japão","🇳🇱","🇯🇵","","","scheduled"
"11","Grupo E","2026-06-14 19:00","Costa do Marfim","Equador","🇨🇮","🇪🇨","","","scheduled"
"12","Grupo F","2026-06-14 22:00","Vencedor Repescagem UEFA B","Tunísia","🏳️","🇹🇳","","","scheduled"
"13","Grupo H","2026-06-15 12:00","Espanha","Cabo Verde","🇪🇸","🇨🇻","","","scheduled"
"14","Grupo G","2026-06-15 15:00","Bélgica","Egito","🇧🇪","🇪🇬","","","scheduled"
"15","Grupo H","2026-06-15 18:00","Arábia Saudita","Uruguai","🇸🇦","🇺🇾","","","scheduled"
"16","Grupo G","2026-06-15 21:00","Irã","Nova Zelândia","🇮🇷","🇳🇿","","","scheduled"
"17","Grupo I","2026-06-16 15:00","França","Senegal","🇫🇷","🇸🇳","","","scheduled"
"18","Grupo I","2026-06-16 18:00","Vencedor Repescagem FIFA 2","Noruega","🏳️","🇳🇴","","","scheduled"
"19","Grupo J","2026-06-16 21:00","Argentina","Argélia","🇦🇷","🇩🇿","","","scheduled"
"20","Grupo J","2026-06-17 00:00","Áustria","Jordânia","🇦🇹","🇯🇴","","","scheduled"
"21","Grupo K","2026-06-17 13:00","Portugal","Vencedor Repescagem FIFA 1","🇵🇹","🏳️","","","scheduled"
"22","Grupo L","2026-06-17 16:00","Inglaterra","Croácia","🏴󠁧󠁢󠁥󠁮󠁧󠁿","🇭🇷","","","scheduled"
"23","Grupo L","2026-06-17 19:00","Gana","Panamá","🇬🇭","🇵🇦","","","scheduled"
"24","Grupo K","2026-06-17 22:00","Uzbequistão","Colômbia","🇺🇿","🇨🇴","","","scheduled"
"25","Grupo A","2026-06-18 12:00","Vencedor Repescagem UEFA D","África do Sul","🏳️","🇿🇦","","","scheduled"
"26","Grupo B","2026-06-18 15:00","Suíça","Vencedor Repescagem UEFA A","🇨🇭","🏳️","","","scheduled"
"27","Grupo B","2026-06-18 18:00","Canadá","Catar","🇨🇦","🇶🇦","","","scheduled"
"28","Grupo A","2026-06-18 21:00","México","Coreia do Sul","🇲🇽","🇰🇷","","","scheduled"
"29","Grupo D","2026-06-19 15:00","Estados Unidos","Austrália","🇺🇸","🇦🇺","","","scheduled"
"30","Grupo C","2026-06-19 18:00","Escócia","Marrocos","🏴󠁧󠁢󠁳󠁣󠁴󠁿","🇲🇦","","","scheduled"
"31","Grupo C","2026-06-19 21:00","Brasil","Haiti","🇧🇷","🇭🇹","","","scheduled"
"32","Grupo D","2026-06-20 00:00","Vencedor Repescagem UEFA C","Paraguai","🏳️","🇵🇾","","","scheduled"
"33","Grupo F","2026-06-20 13:00","Holanda","Vencedor Repescagem UEFA B","🇳🇱","🏳️","","","scheduled"
"34","Grupo E","2026-06-20 16:00","Alemanha","Costa do Marfim","🇩🇪","🇨🇮","","","scheduled"
"35","Grupo E","2026-06-20 20:00","Equador","Curaçau","🇪🇨","🇨🇼","","","scheduled"
"36","Grupo F","2026-06-21 00:00","Tunísia","Japão","🇹🇳","🇯🇵","","","scheduled"
"37","Grupo H","2026-06-21 12:00","Espanha","Arábia Saudita","🇪🇸","🇸🇦","","","scheduled"
"38","Grupo G","2026-06-21 15:00","Bélgica","Irã","🇧🇪","🇮🇷","","","scheduled"
"39","Grupo H","2026-06-21 18:00","Uruguai","Cabo Verde","🇺🇾","🇨🇻","","","scheduled"
"40","Grupo G","2026-06-21 21:00","Nova Zelândia","Egito","🇳🇿","🇪🇬","","","scheduled"
"41","Grupo J","2026-06-22 13:00","Argentina","Áustria","🇦🇷","🇦🇹","","","scheduled"
